course_id,course_name,course_slug,course_description,course_description_short,course_technology,course_topic,course_instructor_quote,section_id,section_name,section_description
2,Introduction to Tableau,tableau,"Tableau is now one of the most popular business intelligence tools in the world. It allows non-technical users to visualize data and work with it immediately. This course shows how you can use Tableau to create state-of-the-art visualizations and powerful dashboards, which is precisely what corporate executives need when making decisions.
","Teaching you how to tell compelling stories with data by building accessible visualization and dashboards. With these skills, you will be able to present complicated results in a comprehensive way to non-technical audiences.",tableau,data visualization,Data scientists don’t just need to deal with data and solve data driven problems. They also need to convince company executives of the right decisions to make. That’s where Tableau comes in – and we will help you become an expert story teller using the leading visualisation software in business intelligence and data science.,9,Introduction to Tableau,"While Tableau is an indispensable tool in the arsenal of most corporate business intelligence analysts, data analysts, and data scientists, many people are uncertain about the difference between Tableau and spreadsheet tools like Excel. In this part of the course, you will learn when and why you need Tableau, as well as the difference between Tableau and other spreadsheet tools. We will also get you started by showing you how to install Tableau Public (Tableau’s free version).
"
2,Introduction to Tableau,tableau,"Tableau is now one of the most popular business intelligence tools in the world. It allows non-technical users to visualize data and work with it immediately. This course shows how you can use Tableau to create state-of-the-art visualizations and powerful dashboards, which is precisely what corporate executives need when making decisions.
","Teaching you how to tell compelling stories with data by building accessible visualization and dashboards. With these skills, you will be able to present complicated results in a comprehensive way to non-technical audiences.",tableau,data visualization,Data scientists don’t just need to deal with data and solve data driven problems. They also need to convince company executives of the right decisions to make. That’s where Tableau comes in – and we will help you become an expert story teller using the leading visualisation software in business intelligence and data science.,10,Tableau Functionalities,"In this section, you will create your first Tableau charts and tables. We will teach you how to create basic charts and adjust parts of their appearance. By the end of this section, you will be able to use many of Tableau's core functionalities, like creating custom fields, adding calculations to a table, adding totals and subtotals, and adding a filter.
"
2,Introduction to Tableau,tableau,"Tableau is now one of the most popular business intelligence tools in the world. It allows non-technical users to visualize data and work with it immediately. This course shows how you can use Tableau to create state-of-the-art visualizations and powerful dashboards, which is precisely what corporate executives need when making decisions.
","Teaching you how to tell compelling stories with data by building accessible visualization and dashboards. With these skills, you will be able to present complicated results in a comprehensive way to non-technical audiences.",tableau,data visualization,Data scientists don’t just need to deal with data and solve data driven problems. They also need to convince company executives of the right decisions to make. That’s where Tableau comes in – and we will help you become an expert story teller using the leading visualisation software in business intelligence and data science.,11,The Tableau Exercise,"This section is a practical example that will help you apply your skills in practice with real data. The exercise is divided into two parts. In the first part, we will test several ways to connect our data. You already studied joins in SQL. Here, you will see how to apply joins in a Tableau context. You will also learn about data blending, and current best practices. By the end of the exercise, you will create three charts. Each of these charts analyzes a different aspect of a real-life dataset. We will group the charts in a dashboard and add a filter, applying it to all three charts at the same time.
"
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,12,Introduction,"In this section, you will learn about the importance of data visualization, as well as some theoretical foundations for creating charts. We introduce popular frameworks for choosing an appropriate visualization for your data, discuss color theory, and show different approaches to selecting the colors for your graphic."
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,13,Setting Up the Environments,"Here, we set up different environments for the course. First, we will guide you through the installation process for Tableau. Then, you will get familiar with the step-by-step process of installing Anaconda and Jupyter and an introductory tour of the Jupyter Dashboard for Python. Finally, you’ll learn how to install R and R studio, explore the latter’s main features and learn how to customize its appearance. "
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,14,Bar Chart,"We dive straight into visualization with the bar chart! We will take a look at a data set for second-hand car advertisements and use it to create a bar chart in Excel, Tableau, Python, and R. We’ll also lift the curtain on the key elements to making an outstanding bar chart."
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,15,Pie Chart,"In this section, we explore pie charts, which, despite criticism, are among the most popular visualizations. You will learn how to create a pie chart of engine fuel types in Excel, Tableau, Python, and R, and discover what to avoid when making a pie chart. "
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,16,Stacked Area Chart,"Here, you will create your own stacked area chart. Once again, our data follows the automobile theme with one additional element - time series, as the chart follows the popularity of different engine fuel types across the years. 
"
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,17,Line Chart,"In this section, we continue discussing time series data. We will turn our attention to the financial world and explore the stock market returns for two major indices: S&P 500 and FTSE 100. In conclusion, you’ll find out the advantages of using a line chart and what you should be wary of when creating one."
3,"The Complete Data Visualization Course with Python, R, Tableau, and Excel",data-visualization,"The Data Visualization course is designed for everyone looking to deepen their understanding of creating meaningful and compelling visualizations. Whether you’re coming from a business or data science-related field, knowledge in data visualization is both important and advantageous. That’s precisely why this course is centered not in just one, but four different environments: Excel, Tableau, Python, and R. Each section is dedicated to a specific type of chart – bar charts, pie charts, area charts, line charts and many more. In addition, there are lectures that specifically explore what to avoid when creating a certain graphic. You can stick with your preferred environment and follow each section. Or you could master all four environments and add indispensable skills to your data visualization toolset.","Teaching you how to master the art of creating and styling charts to achieve professional results. The course is based in four different technologies – Excel, Tableau, Python, and R – to complete your data visualization skillset.",python,data visualization,Data visualization is the face of data. Many people look at the data and see nothing. The reason for that is that they are not creating good visualizations. Or even worse – they are creating nice graphs but cannot interpret them accurately. This course will tackle both of these problems.,18,Histogram,"This section centers around the histogram – an integral part of the data analysis process. We will create a histogram of the price of California's real estate. Here, we devote an extra lecture and explore how to choose the right number of bins for your histogram."
